heading,count,share,cum_share,rank
Departmental Data,539,0.03225613405146619,0.03225613405146619,1
Special Educational Needs,505,0.030221424296828246,0.06247755834829444,2
Health Services,383,0.022920406941950928,0.08539796529024536,3
Schools Building Projects,362,0.021663674446439258,0.10706163973668462,4
Mental Health Services,229,0.013704368641532017,0.12076600837821663,5
Disability Services,224,0.013405146618791143,0.13417115499700777,6
Departmental Funding,213,0.01274685816876122,0.146918013165769,7
An Garda Síochána,212,0.012687013764213046,0.15960502692998205,8
Health Services Staff,212,0.012687013764213046,0.1722920406941951,9
Rail Network,209,0.012507480550568523,0.18479952124476362,10
Departmental Expenditure,203,0.012148414123279473,0.1969479353680431,11
Bus Services,184,0.011011370436864154,0.20795930580490724,12
Pension Provisions,172,0.010293237582286056,0.2182525433871933,13
Defence Forces,171,0.010233393177737882,0.22848593656493119,14
Ambulance Service,164,0.009814482345900658,0.23830041891083184,15
Housing Schemes,163,0.009754637941352484,0.24805505685218432,16
Artificial Intelligence,159,0.009515260323159785,0.2575703171753441,17
Childcare Services,156,0.00933572710951526,0.26690604428485937,18
Healthcare Policy,151,0.009036505086774387,0.27594254937163376,19
Housing Policy,148,0.008856971873129862,0.2847995212447636,20
Departmental Inquiries,144,0.008617594254937163,0.2934171154997008,21
Health Service Executive,138,0.008258527827648115,0.3016756433273489,22
Housing Provision,136,0.008138839018551766,0.3098144823459007,23
Medicinal Products,133,0.007959305804907241,0.3177737881508079,24
Departmental Legal Cases,130,0.007779772591262717,0.32555356074207065,25
Hospital Services,130,0.007779772591262717,0.33333333333333337,26
Departmental Schemes,127,0.007600239377618193,0.34093357271095154,27
School Staff,126,0.0075403949730700175,0.34847396768402156,28
Departmental Policies,124,0.007420706163973669,0.3558946738479952,29
International Protection,122,0.007301017354877319,0.36319569120287254,30
Cabinet Committees,118,0.00706163973668462,0.37025733093955715,31
Social Welfare Payments,118,0.00706163973668462,0.37731897067624176,32
Road Safety,111,0.006642728904847397,0.38396169958108917,33
Legislative Measures,104,0.006223818073010173,0.39018551765409937,34
Departmental Contracts,101,0.006044284859365649,0.396229802513465,35
School Transport,99,0.0059245960502693,0.4021543985637343,36
Public Transport,98,0.005864751645721125,0.40801915020945545,37
Departmental Staff,97,0.00580490724117295,0.4138240574506284,38
Rental Sector,95,0.005685218432076601,0.419509275882705,39
Hospital Staff,94,0.005625374027528426,0.4251346499102334,40
Flood Relief Schemes,89,0.005326152004787552,0.43046080191502095,41
Dental Services,89,0.005326152004787552,0.4357869539198085,42
Departmental Correspondence,88,0.005266307600239378,0.44105326152004787,43
Education Policy,87,0.0052064631956912025,0.44625972471573905,44
Early Childhood Care and Education,87,0.0052064631956912025,0.45146618791143023,45
Departmental Bodies,86,0.005146618791143028,0.45661280670257326,46
Departmental Strategies,86,0.005146618791143028,0.4617594254937163,47
Social Welfare Schemes,84,0.005026929982046679,0.46678635547576297,48
School Accommodation,79,0.004727707959305805,0.4715140634350688,49
Healthcare Infrastructure Provision,78,0.00466786355475763,0.4761819269898264,50
Road Projects,77,0.004608019150209456,0.4807899461400359,51
Social Welfare Benefits,76,0.00454817474566128,0.48533812088569717,52
Tax Code,74,0.004428485936564931,0.4897666068222621,53
Health Strategies,71,0.004248952722920407,0.4940155595451825,54
Departmental Advertising,69,0.004129263913824057,0.49814482345900657,55
Departmental Reviews,69,0.004129263913824057,0.5022740873728306,56
Driver Test,68,0.004069419509275883,0.5063435068821065,57
Hospital Waiting Lists,68,0.004069419509275883,0.5104129263913824,58
Sports Funding,67,0.004009575104727708,0.51442250149611,59
Hospital Facilities,67,0.004009575104727708,0.5184320766008377,60
Disabilities Assessments,65,0.0038898862956313583,0.522321962896469,61
Road Traffic Offences,64,0.0038300418910831835,0.5261520047875522,62
Child and Family Agency,64,0.0038300418910831835,0.5299820466786354,63
Nursing Homes,64,0.0038300418910831835,0.5338120885697185,64
Social Welfare Eligibility,64,0.0038300418910831835,0.5376421304608017,65
EU Presidency,63,0.0037701974865350088,0.5414123279473366,66
Defective Building Materials,63,0.0037701974865350088,0.5451825254338716,67
General Practitioner Services,63,0.0037701974865350088,0.5489527229204065,68
Public Sector Pensions,62,0.0037103530819868344,0.5526630760023934,69
Local Authorities,61,0.0036505086774386596,0.556313584679832,70
Departmental Reports,61,0.0036505086774386596,0.5599640933572707,71
Visa Applications,61,0.0036505086774386596,0.5636146020347094,72
Health Services Waiting Lists,61,0.0036505086774386596,0.567265110712148,73
Planning Issues,60,0.003590664272890485,0.5708557749850385,74
School Facilities,60,0.003590664272890485,0.5744464392579289,75
School Enrolments,60,0.003590664272890485,0.5780371035308194,76
Prison Service,59,0.00353081986834231,0.5815679233991617,77
Medical Cards,58,0.0034709754637941353,0.5850388988629559,78
Disability Issues,56,0.0033512866546977858,0.5883901855176537,79
Departmental Budgets,55,0.003291442250149611,0.5916816277678033,80
Climate Action Plan,53,0.0031717534410532614,0.5948533812088566,81
School Funding,53,0.0031717534410532614,0.5980251346499098,82
Departmental Projects,52,0.0031119090365050867,0.6011370436864149,83
Agriculture Schemes,51,0.003052064631956912,0.6041891083183718,84
Office of Public Works,50,0.002992220227408737,0.6071813285457806,85
Tax Data,50,0.002992220227408737,0.6101735487731893,86
Animal Welfare,50,0.002992220227408737,0.613165769000598,87
Hospital Appointments Status,50,0.002992220227408737,0.6161579892280068,88
Road Network,49,0.0029323758228605623,0.6190903650508673,89
Online Safety,48,0.002872531418312388,0.6219628964691797,90
Vacant Properties,48,0.002872531418312388,0.624835427887492,91
Transport Policy,47,0.002812687013764213,0.6276481149012563,92
Youth Services,47,0.002812687013764213,0.6304608019150205,93
Programme for Government,44,0.002633153800119689,0.6330939557151402,94
Pharmacy Services,44,0.002633153800119689,0.6357271095152598,95
Fishing Industry,43,0.002573309395571514,0.6383004189108313,96
Children in Care,43,0.002573309395571514,0.6408737283064029,97
Pensions Reform,42,0.0025134649910233393,0.6433871932974262,98
School Meals Programme,42,0.0025134649910233393,0.6459006582884496,99
Capital Expenditure Programme,41,0.0024536205864751645,0.6483542788749247,100
National Transport Authority,41,0.0024536205864751645,0.6508078994613998,101
Primary Care Centres,41,0.0024536205864751645,0.653261520047875,102
Legislative Process,40,0.0023937761819269898,0.655655296229802,103
Tax Reliefs,40,0.0023937761819269898,0.658049072411729,104
Health Screening Programmes,40,0.0023937761819269898,0.6604428485936561,105
Trade Agreements,39,0.002333931777378815,0.6627767803710349,106
Food Safety,39,0.002333931777378815,0.6651107121484138,107
Further and Higher Education,39,0.002333931777378815,0.6674446439257926,108
Agriculture Industry,38,0.00227408737283064,0.6697187312986232,109
Vaccination Programme,38,0.00227408737283064,0.6719928186714539,110
Renewable Energy Generation,37,0.0022142429682824654,0.6742070616397363,111
Electric Vehicles,36,0.0021543985637342907,0.6763614602034707,112
Rural Schemes,36,0.0021543985637342907,0.678515858767205,113
Work Permits,35,0.002094554159186116,0.6806104129263911,114
