question,heading,department
 1. Deputy Malcolm Byrne asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [65714/25] ,Cabinet Committees,Taoiseach
 2. Deputy Naoise Ó Cearúil asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [65718/25] ,Cabinet Committees,Taoiseach
 3. Deputy Pádraig Rice asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [68414/25] ,Cabinet Committees,Taoiseach
 4. Deputy Ruairí Ó Murchú asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [69322/25] ,Cabinet Committees,Taoiseach
 5. Deputy Darren O'Rourke asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [69705/25] ,Cabinet Committees,Taoiseach
 6. Deputy Pádraig Rice asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [70180/25] ,Cabinet Committees,Taoiseach
 7. Deputy Darren O'Rourke asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [71907/25] ,Cabinet Committees,Taoiseach
 8. Deputy Pádraig O'Sullivan asked the Taoiseach when the Cabinet committee on EU and international affairs will meet next. [74327/25] ,Cabinet Committees,Taoiseach
 9. Deputy Richard Boyd Barrett asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1547/26] ,Cabinet Committees,Taoiseach
 10. Deputy Paul Murphy asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1550/26] ,Cabinet Committees,Taoiseach
 11. Deputy Liam Quaide asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1109/26] ,Cabinet Committees,Taoiseach
 12. Deputy Ruth Coppinger asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1707/26] ,Cabinet Committees,Taoiseach
 13. Deputy Barry Heneghan asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1732/26] ,Cabinet Committees,Taoiseach
 14. Deputy Conor D. McGuinness asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1822/26] ,Cabinet Committees,Taoiseach
 15. Deputy Rose Conway-Walsh asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1828/26] ,Cabinet Committees,Taoiseach
 16. Deputy Ruairí Ó Murchú asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [69323/25] ,Cabinet Committees,Taoiseach
 17. Deputy James Geoghegan asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [69535/25] ,Cabinet Committees,Taoiseach
 18. Deputy Albert Dolan asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [71594/25] ,Cabinet Committees,Taoiseach
 19. Deputy Albert Dolan asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [71595/25] ,Cabinet Committees,Taoiseach
 20. Deputy Ryan O'Meara asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [71596/25] ,Cabinet Committees,Taoiseach
 21. Deputy Darren O'Rourke asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [71906/25] ,Cabinet Committees,Taoiseach
 22. Deputy Rose Conway-Walsh asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [72043/25] ,Cabinet Committees,Taoiseach
 23. Deputy Pádraig O'Sullivan asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [74328/25] ,Cabinet Committees,Taoiseach
 24. Deputy Cian O'Callaghan asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [74416/25] ,Cabinet Committees,Taoiseach
 25. Deputy Richard Boyd Barrett asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [1548/26] ,Cabinet Committees,Taoiseach
 26. Deputy Paul Murphy asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [1551/26] ,Cabinet Committees,Taoiseach
 27. Deputy Cian O'Callaghan asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [72585/25] ,Cabinet Committees,Taoiseach
 28. Deputy Liam Quaide asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [1110/26] ,Cabinet Committees,Taoiseach
 29. Deputy Ruth Coppinger asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [1708/26] ,Cabinet Committees,Taoiseach
 30. Deputy Conor D. McGuinness asked the Taoiseach when the Cabinet committee on Government co-ordination will next meet. [1823/26] ,Cabinet Committees,Taoiseach
" 108. Deputy Rose Conway-Walsh asked the Minister for Enterprise, Tourism and Employment the steps he is taking to support small and medium enterprises facing rising costs of doing business, including energy, insurance and regulatory costs; and if he will make a statement on the matter. [64579/25] ",Enterprise Support Services,Enterprise
" 109. Deputy George Lawlor asked the Minister for Enterprise, Tourism and Employment in light of the recently calculated €1 billion fall in tourism revenue year-on-year, the factors his Department has identified as driving this decline; the immediate actions he intends to take to stabilise the sector and prevent further losses; and if he will make a statement on the matter. [1338/26] ",Tourism Promotion,Enterprise
" 110. Deputy Rose Conway-Walsh asked the Minister for Enterprise, Tourism and Employment to outline the measures his Department plans to introduce to correct the imbalance in unemployment rates between regional areas and urban centres; and if he will make a statement on the matter. [2418/26] ",Employment Data,Enterprise
" 111. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment whether his Department is concerned about the rising rate of long-term unemployment and the rising rate of youth unemployment, which stands at nearly three times the average unemployment rate, according to the CSO; the measures his Department is taking to find the cause and address these issues in the Irish labour market; and if he will make a statement on the matter.  [2383/26] ",Employment Data,Enterprise
" 112. Deputy Rose Conway-Walsh asked the Minister for Enterprise, Tourism and Employment to outline the specific North-South tourism initiatives included in the Government’s new tourism strategy; how these initiatives will support the growth of sustainable all-island tourism; and if he will make a statement on the matter. [2419/26] ",Tourism Policy,Enterprise
" 113. Deputy Barry Heneghan asked the Minister for Enterprise, Tourism and Employment to support the development of a Dublin Bay heritage centre to enhance tourism, protect maritime heritage and increase year-round visitor numbers in Dublin Bay North; and if he will make a statement on the matter. [1793/26] ",Tourism Funding,Enterprise
" 114. Deputy Sean Fleming asked the Minister for Enterprise, Tourism and Employment the number of jobs IDA Ireland supported in each county in the midlands region in 2025; the way in which this compares with the position in each county in the midlands region in 2020; and if he will make a statement on the matter. [1592/26] ",Industrial Development,Enterprise
" 115. Deputy John Paul O'Shea asked the Minister for Enterprise, Tourism and Employment for an update on the development of the next-generation sites; and if he will make a statement on the matter. [1237/26] ",Foreign Direct Investment,Enterprise
" 116. Deputy Naoise Ó Muirí asked the Minister for Enterprise, Tourism and Employment if he will provide an update on the uptake of the seed and venture capital scheme; when commitments will be made by Enterprise Ireland; and if he will make a statement on the matter. [1715/26] ",Enterprise Support Services,Enterprise
" 117. Deputy Michael Cahill asked the Minister for Enterprise, Tourism and Employment for an overview of the new national tourism policy; and if he will make a statement on the matter. [1713/26] ",Tourism Policy,Enterprise
" 118. Deputy Aisling Dempsey asked the Minister for Enterprise, Tourism and Employment the number of jobs the IDA supported in each county in the mid-east region in 2025; the way in which this compares with each county in the mid-east region in 2020; and if he will make a statement on the matter. [1529/26] ",Job Creation,Enterprise
" 119. Deputy Brendan Smith asked the Minister for Enterprise, Tourism and Employment if a new north-east regional enterprise plan is forthcoming; and if he will make a statement on the matter. [1731/26] ",Enterprise Policy,Enterprise
" 120. Deputy Michael Murphy asked the Minister for Enterprise, Tourism and Employment the current status of the IDA-owned lands at Ballingarrane, south Tipperary; the extent to which IDA Ireland is actively marketing the site following the recent grant of planning permission for an advance building solution; the marketing strategy now in place, including international promotion, engagement with potential investors and inclusion of the site in IDA property offerings; if any expressions of interest have been received; the timeline for delivery of an advance facility on the site; and if he will make a statement on the matter. [1440/26] ",Regional Development,Enterprise
" 121. Deputy Peter Roche asked the Minister for Enterprise, Tourism and Employment the engagement his Department has had with the Department of Justice, Home Affairs and Migration regarding current waiting times for first-time Irish residence permit registration appointments, which in many cases now exceed new employees’ actual job start dates due to exceptionally high demand for appointments and limited availability (details supplied); the measures are being taken to reduce these waiting times; the supports or temporary flexibilities are being put in place to assist affected employees and employers; and if he will make a statement on the matter. [1459/26] ",Residency Permits,Enterprise
" 122. Deputy Noel McCarthy asked the Minister for Enterprise, Tourism and Employment if there have been any expressions of interest in the past five years in the development of the vacant IDA site in Fermoy, County Cork; and if he will make a statement on the matter. [1734/26] ",Regional Development,Enterprise
