question,department,question_clean,date,answer_type,question_number,refNo,deputy,deputy_source,language,raw_question,department_paper,source_question_paragraph,source_pq_paragraph
1. Deputy Pearse Doherty asked the Minister for Foreign Affairs and Trade if a child's passport application (details supplied) applied for in July 2026 will be processed on time for a trave date of 23 September 2026. [67397/26],Foreign,the minister for foreign affairs and trade if a child s passport application details supplied applied for in july 2026 will be processed on time for a trave date of 23 september 2026 67397 26,2026-09-23,written,1,67397/26,Pearse Doherty,PEARSE DOHERTY,en,To ask the Minister for Foreign Affairs and Trade if a child's passport application (details supplied) applied for in July 2026 will be processed on time for a trave date of 23 September 2026.,Foreign Affairs and Trade,16,18
"2. Deputy Michael Cahill asked the Minister for Climate, Energy and the Environment in view of the Government’s commitment to achieving 80% renewable electricity by 2030 and the rapidly increasing contribution of solar energy to Ireland’s electricity generation, if he will provide an update on the development of a national policy framework for solar energy development. [67345/26]",Climate,the minister for climate energy and the environment in view of the government s commitment to achieving 80 renewable electricity by 2030 and the rapidly increasing contribution of solar energy to ireland s electricity generation if he will provide an update on the development of a national policy framework for solar energy development 67345 26,2026-09-23,written,2,67345/26,Michael Cahill,MICHAEL CAHILL,en,"To ask the Minister for Climate, Energy and the Environment in view of the Government’s commitment to achieving 80% renewable electricity by 2030 and the rapidly increasing contribution of solar energy to Ireland’s electricity generation, if he will provide an update on the development of a national policy framework for solar energy development.","Climate, Energy and the Environment",23,25
"3. Deputy Louis O'Hara asked the Minister for Climate, Energy and the Environment whether his Department has considered developing a national support scheme for domestic plug-in battery storage systems as part of Ireland's response to fuel poverty, energy affordability and energy security. [67373/26]",Climate,the minister for climate energy and the environment whether his department has considered developing a national support scheme for domestic plug-in battery storage systems as part of ireland s response to fuel poverty energy affordability and energy security 67373 26,2026-09-23,written,3,67373/26,Louis O'Hara,LOUIS O'HARA,en,"To ask the Minister for Climate, Energy and the Environment whether his Department has considered developing a national support scheme for domestic plug-in battery storage systems as part of Ireland's response to fuel poverty, energy affordability and energy security.","Climate, Energy and the Environment",27,29
"4. Deputy Barry Heneghan asked the Minister for Climate, Energy and the Environment the measures being considered in the upcoming Budget to assist SMEs and local businesses in reducing ongoing energy costs, including through increased supports for energy efficiency, building retrofits, renewable energy and other measures that can deliver long-term reductions in electricity and heating costs. [67381/26]",Climate,the minister for climate energy and the environment the measures being considered in the upcoming budget to assist smes and local businesses in reducing ongoing energy costs including through increased supports for energy efficiency building retrofits renewable energy and other measures that can deliver long-term reductions in electricity and heating costs 67381 26,2026-09-23,written,4,67381/26,Barry Heneghan,BARRY HENEGHAN,en,"To ask the Minister for Climate, Energy and the Environment the measures being considered in the upcoming Budget to assist SMEs and local businesses in reducing ongoing energy costs, including through increased supports for energy efficiency, building retrofits, renewable energy and other measures that can deliver long-term reductions in electricity and heating costs.","Climate, Energy and the Environment",31,33
"5. Deputy Barry Heneghan asked the Minister for Climate, Energy and the Environment if he will consider measures in Budget 2027 to make energy retrofit grants more accessible and affordable for small and local businesses, particularly those for whom the upfront cost of works remains a barrier to undertaking energy-efficiency upgrades. [67380/26]",Climate,the minister for climate energy and the environment if he will consider measures in budget 2027 to make energy retrofit grants more accessible and affordable for small and local businesses particularly those for whom the upfront cost of works remains a barrier to undertaking energy-efficiency upgrades 67380 26,2026-09-23,written,5,67380/26,Barry Heneghan,BARRY HENEGHAN,en,"To ask the Minister for Climate, Energy and the Environment if he will consider measures in Budget 2027 to make energy retrofit grants more accessible and affordable for small and local businesses, particularly those for whom the upfront cost of works remains a barrier to undertaking energy-efficiency upgrades.","Climate, Energy and the Environment",35,37
"6. Deputy Barry Heneghan asked the Minister for Climate, Energy and the Environment in the context of the upcoming Budget, if he intends to increase funding or introduce additional supports for energy-efficiency and retrofit works for SMEs and small businesses. [67379/26]",Climate,the minister for climate energy and the environment in the context of the upcoming budget if he intends to increase funding or introduce additional supports for energy-efficiency and retrofit works for smes and small businesses 67379 26,2026-09-23,written,6,67379/26,Barry Heneghan,BARRY HENEGHAN,en,"To ask the Minister for Climate, Energy and the Environment in the context of the upcoming Budget, if he intends to increase funding or introduce additional supports for energy-efficiency and retrofit works for SMEs and small businesses.","Climate, Energy and the Environment",39,41
"7. Deputy Maurice Quinlivan asked the Minister for Climate, Energy and the Environment to provide details if Ardnacrusha generation station failed to produce electricity in the years 2022 to 2025 and to date in 2026. [67374/26]",Climate,the minister for climate energy and the environment if ardnacrusha generation station failed to produce electricity in the years 2022 to 2025 and to date in 2026 67374 26,2026-09-23,written,7,67374/26,Maurice Quinlivan,MAURICE QUINLIVAN,en,"To ask the Minister for Climate, Energy and the Environment to provide details if Ardnacrusha generation station failed to produce electricity in the years 2022 to 2025 and to date in 2026.","Climate, Energy and the Environment",43,45
"8. Deputy Brian Stanley asked the Minister for Climate, Energy and the Environment to clarify that electricity generated from solar panels on school buildings and which was funded by Government grants will not be exported to the grid free of charge and that schools will continue to get credits for it against their electricity bills. [67528/26]",Climate,the minister for climate energy and the environment to clarify that electricity generated from solar panels on school buildings and which was funded by government grants will not be exported to the grid free of charge and that schools will continue to get credits for it against their electricity bills 67528 26,2026-09-23,written,8,67528/26,Brian Stanley,BRIAN STANLEY,en,"To ask the Minister for Climate, Energy and the Environment to clarify that electricity generated from solar panels on school buildings and which was funded by Government grants will not be exported to the grid free of charge and that schools will continue to get credits for it against their electricity bills.","Climate, Energy and the Environment",47,49
9. Deputy Aidan Farrelly asked the Minister for Defence the annual maintenance costs incurred for the upkeep of the former Government Learjet from 2003 to 2025. [67501/26],Defence,the minister for defence the annual maintenance costs incurred for the upkeep of the former government learjet from 2003 to 2025 67501 26,2026-09-23,written,9,67501/26,Aidan Farrelly,AIDAN FARRELLY,en,To ask the Minister for Defence the annual maintenance costs incurred for the upkeep of the former Government Learjet from 2003 to 2025.,Defence,54,56
10. Deputy Aidan Farrelly asked the Minister for Defence the annual maintenance cost of the Defence Forces new strategic reach aircraft (details supplied); and if she will clarify whether a third party has been engaged to maintain this aircraft. [67500/26],Defence,the minister for defence the annual maintenance cost of the defence forces new strategic reach aircraft details supplied and if she will clarify whether a third party has been engaged to maintain this aircraft 67500 26,2026-09-23,written,10,67500/26,Aidan Farrelly,AIDAN FARRELLY,en,To ask the Minister for Defence the annual maintenance cost of the Defence Forces new strategic reach aircraft (details supplied); and if she will clarify whether a third party has been engaged to maintain this aircraft.,Defence,58,60
"11. Deputy Pa Daly asked the Minister for Transport further to PQ64566/26 of 16 September 2026, to provide the report (details supplied) including timelines for projected delivery and cost; the proportion which are new services and the proportion that are enhancements; the number he expects will actually be delivered given a similar list contained in the submission for budget 2026, in tabular form; if the Government will commit to providing the resources to deliver these 140 new services and enhancements; if there specific projects that will be prioritised; and if he will make a statement on the matter [67281/26]",Transport,the minister for transport further to pq64566 26 of 16 september 2026 to provide the report details supplied including timelines for projected delivery and cost the proportion which are new services and the proportion that are enhancements the number he expects will actually be delivered given a similar list contained in the submission for budget 2026 in tabular form if the government will commit to providing the resources to deliver these 140 new services and enhancements if there specific projects that will be prioritised and 67281 26,2026-09-23,written,11,67281/26,Pa Daly,PA DALY,en,"To ask the Minister for Transport further to PQ64566/26 of 16 September 2026, to provide the report (details supplied) including timelines for projected delivery and cost; the proportion which are new services and the proportion that are enhancements; the number he expects will actually be delivered given a similar list contained in the submission for budget 2026, in tabular form; if the Government will commit to providing the resources to deliver these 140 new services and enhancements; if there specific projects that will be prioritised; and if he will make a statement on the matter",Transport,65,67
"12. Deputy John Lahart asked the Minister for Transport if consideration has been given to the implementation of a temporary road tax for tourist vehicles, as these vehicles are contributing to road surface damage. [67338/26]",Transport,the minister for transport if consideration has been given to the implementation of a temporary road tax for tourist vehicles as these vehicles are contributing to road surface damage 67338 26,2026-09-23,written,12,67338/26,John Lahart,JOHN LAHART,en,"To ask the Minister for Transport if consideration has been given to the implementation of a temporary road tax for tourist vehicles, as these vehicles are contributing to road surface damage.",Transport,69,71
"13. Deputy John Connolly asked the Minister for Transport if he will request the National Transport Authority to clarify when the Galway city bus services 410, 411 and 412 are put out to tender in 2027, it plans to tender the existing routes in their current form or introduce the three new services proposed under the BusConnects Galway Network Redesign; whether these new services are intended to replace the current routes; the timeline envisaged for their introduction; the service frequencies that will be specified as part of the tender process for these routes; and whether an increase in frequency is planned compared to current service levels. [67356/26]",Transport,the minister for transport if he will request the national transport authority to clarify when the galway city bus services 410 411 and 412 are put out to tender in 2027 it plans to tender the existing routes in their current form or introduce the three new services proposed under the busconnects galway network redesign whether these new services are intended to replace the current routes the timeline envisaged for their introduction the service frequencies that will be specified as part of the tender process for these routes and whether an increase in frequency is planned compared to current service levels 67356 26,2026-09-23,written,13,67356/26,John Connolly,JOHN CONNOLLY,en,"To ask the Minister for Transport if he will request the National Transport Authority to clarify when the Galway city bus services 410, 411 and 412 are put out to tender in 2027, it plans to tender the existing routes in their current form or introduce the three new services proposed under the BusConnects Galway Network Redesign; whether these new services are intended to replace the current routes; the timeline envisaged for their introduction; the service frequencies that will be specified as part of the tender process for these routes; and whether an increase in frequency is planned compared to current service levels.",Transport,73,75
14. Deputy Duncan Smith asked the Minister for Transport the way in which his Department plans to address the number of areas in Dublin Fingal East that have seen significant building since the plans for BusConnects were agreed and as such with the roll out of BusConnects will not be properly served. [67232/26],Transport,the minister for transport the way in which his department plans to address the number of areas in dublin fingal east that have seen significant building since the plans for busconnects were agreed and as such with the roll out of busconnects will not be properly served 67232 26,2026-09-23,written,14,67232/26,Duncan Smith,DUNCAN SMITH,en,To ask the Minister for Transport the way in which his Department plans to address the number of areas in Dublin Fingal East that have seen significant building since the plans for BusConnects were agreed and as such with the roll out of BusConnects will not be properly served.,Transport,77,79
